repository,research_value,production_value,forecasting_value,sentiment_value,real_time_value,data_engineering_value,agent_value,backtesting_value,integration_complexity,compute_cost,license_risk,maintenance_risk,decision,rationale
FinVis-GPT,Medium,Low,Low,Medium,Low,Low,Medium,Low,High,High,Unknown,Medium,research,Multimodal financial document/chart research
FinBERT,High,Medium,Low,High,Medium,Medium,Low,Medium,Low,Low,Low,Medium,integrate,Strong simple financial sentiment baseline with explicit three-class output
Kimi-K3,Medium,Low,Low,Medium,Low,Low,High,Low,High,High,Unknown,Medium,research,General LLM research; too costly/uncertain for primary quant path
Kimi-K3-in-C,Medium,Medium,Low,Low,High,High,Low,Low,High,Medium,Unknown,Medium,research,Runtime/performance engineering rather than finance model
Crucix,Medium,Low,Low,Medium,Medium,High,High,Low,High,Medium,Unknown,High,research,Potential intelligence value but requires deep source/security audit
Hermes-Agent,High,Medium,Low,Medium,High,Medium,High,Low,High,High,Unknown,Medium,sandbox,Agent runtime and governance patterns; no autonomous production trading authority
Shannon,Medium,Medium,Low,Low,Low,High,Low,Low,High,Medium,Unknown,Medium,security,Security/SAST toolchain; never part of prediction path
Numbat,Medium,Low,Low,Low,Medium,Medium,Medium,Low,High,Medium,Unknown,High,security,Potential observability/security utility; deeper audit required
Skfolio,High,High,Low,Low,Medium,Medium,Low,High,Medium,Low,Low,Medium,integrate,Risk and portfolio optimization layer after validated predictions
VectorBT,High,Medium,Medium,Low,Medium,High,Medium,High,Medium,Low,Low,Medium,research,Fast vectorized research/backtesting; use as research engine not execution authority
Ornith-1,Medium,Low,Low,Medium,Medium,Low,High,Low,High,Medium,Unknown,Unknown,research,Potential agent/intelligence utility requires source audit
FreeDomain,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Unknown,Unknown,reject,No demonstrated value for core MarketAI quant intelligence
Turbo-Fieldfare,Medium,Medium,Low,Low,Medium,High,Low,Low,Medium,Medium,Unknown,Medium,optional,Potential local inference/runtime support only
